family,rank,name,objective,chi2,max_abs_z,log10_error,complexity,post_selection_penalty,certified_first_principles,post_selected,ratio_predicted_to_target,alpha_U_inv_value,M_U_GeV,M_I_GeV
one_loop_gauge_clock,17,"auto gauge-clock: alpha_U^-1=|Delta(D5)|+rank(D5)+b2(T3)/2, M_U=Mbar_Pl/|Delta(D5)|, clock=1:10, b_high=(-47/3, -13/5, -7)",6.644400675345469,0.3656250779505906,0.45062409597442415,,13.184048971023191,5.6195731488437195,False,True,,46.5,6.0875e+16,2733738942126700.5
one_loop_gauge_clock,18,"auto gauge-clock: alpha_U^-1=|Delta(D5)|+rank(D5), M_U=Mbar_Pl/34, clock=2:13, b_high=(-37/5, -3/5, -14/3)",6.652609708300673,0.2270430922641549,0.389863178112293,,16.119869343855967,5.6195731488437195,False,True,,45.0,7.161764705882353e+16,739620717120939.6
one_loop_gauge_clock,19,"auto gauge-clock: alpha_U^-1=|Delta(D5)|+rank(D5)+b2(T3)/2, M_U=Mbar_Pl/45, clock=1:8, b_high=(-12, -14/5, -36/5)",6.66026304830919,0.2720260010512764,0.4732178463121942,,15.373277968283881,5.6195731488437195,False,True,,46.5,5.411111111111111e+16,1235387651829510.8
one_loop_gauge_clock,20,"auto gauge-clock: alpha_U^-1=92/2, M_U=Mbar_Pl/27, clock=5:9, b_high=(-3/4, -8/3, -13/2)",6.664619996162226,0.23286712704242452,0.36933219302426323,,16.243594405521634,5.6195731488437195,False,True,,46.0,9.018518518518518e+16,397839150562.63824
one_loop_gauge_clock,21,"auto gauge-clock: alpha_U^-1=90/2, M_U=Mbar_Pl/|Delta(A1)|, clock=4:13, b_high=(-13/4, -4/5, -7/2)",6.667242632735341,0.33957152075182423,0.5417238949441128,,14.161959262795953,5.6195731488437195,False,True,,45.0,1.2175e+18,195535815029563.2
one_loop_gauge_clock,22,"auto gauge-clock: alpha_U^-1=|Delta(A8)|/2+rank(A8), M_U=Mbar_Pl/|Delta(A3)|, clock=1:12, b_high=(-29/2, 14/3, 2)",6.671330870582671,0.38626734437240673,0.41947589524039663,,13.309807547330895,5.6195731488437195,False,True,,44.0,2.0291666666666666e+17,1.3389058064316632e+16
one_loop_gauge_clock,23,"auto gauge-clock: alpha_U^-1=(|Delta(D7)|+rank(D7))/2, M_U=Mbar_Pl/10, clock=1:9, b_high=(-13, 1/3, -5/2)",6.67180315388249,0.35803165353845634,0.42830234083292745,,13.883967030006275,5.6195731488437195,False,True,,45.5,2.435e+17,6979797743139523.0
one_loop_gauge_clock,24,"auto gauge-clock: alpha_U^-1=90/2, M_U=Mbar_Pl/|Delta(B3)|, clock=1:4, b_high=(-19/5, -6/5, -24/5)",6.674528124255392,0.29836367067609015,0.484734707182432,,15.131826094711652,5.6195731488437195,False,True,,45.0,1.3527777777777778e+17,125016894477746.72
one_loop_gauge_clock,25,"auto gauge-clock: alpha_U^-1=|Delta(A8)|/2+rank(A8), M_U=Mbar_Pl/|Delta(A3)|, clock=2:11, b_high=(-26/5, 3/4, -5/2)",6.690847927152957,0.3862673443726097,0.4194758952403504,,13.700148678732546,5.6195731488437195,False,True,,44.0,2.0291666666666666e+17,883450722872981.2
one_loop_gauge_clock,26,"auto gauge-clock: alpha_U^-1=(|Delta(D7)|+rank(D7))/2, M_U=Mbar_Pl/10, clock=3:7, b_high=(-8/5, -2, -11/2)",6.700385911189859,0.3580316535386605,0.42830234083385266,,14.455622176149582,5.6195731488437195,False,True,,45.5,2.435e+17,5734962507767.317
one_loop_gauge_clock,27,"auto gauge-clock: alpha_U^-1=88/2, M_U=Mbar_Pl/|Delta(A3)|, clock=1:12, b_high=(-29/2, 14/3, 2)",6.704088204892335,0.38626734437240673,0.41947589524039663,,13.964954233524175,5.6195731488437195,False,True,,44.0,2.0291666666666666e+17,1.3389058064316632e+16
one_loop_gauge_clock,28,"auto gauge-clock: alpha_U^-1=89/2, M_U=Mbar_Pl/11, clock=1:12, b_high=(-63/4, 18/5, 1)",6.704192286683621,0.26061502836542083,0.46565198750059267,,16.480082189489607,5.6195731488437195,False,True,,44.5,2.2136363636363635e+17,1.450880933318102e+16
one_loop_gauge_clock,29,"auto gauge-clock: alpha_U^-1=90/2, M_U=Mbar_Pl/34, clock=2:13, b_high=(-37/5, -3/5, -14/3)",6.71268765470266,0.2270430922641549,0.389863178112293,,17.32142827189571,5.6195731488437195,False,True,,45.0,7.161764705882353e+16,739620717120939.6
one_loop_gauge_clock,30,"auto gauge-clock: alpha_U^-1=91/2, M_U=Mbar_Pl/10, clock=1:9, b_high=(-13, 1/3, -5/2)",6.714038773443059,0.35803165353845634,0.42830234083292745,,14.728679421217677,5.6195731488437195,False,True,,45.5,2.435e+17,6979797743139523.0
one_loop_gauge_clock,31,audited seed: ISDLC--TCPS one-loop gauge clock,14.93228957010411,8.864404026394753,2.783340149450808,,8.96624789731273,5.6195731488437195,False,False,,46.5,6.0875e+16,1267702994577.6792
vacuum_instanton,1,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^-2 * exp(-(177/2)*pi),2.524920511547349,,,0.00010583840087501534,5.0229260926618045,2.37412689036662,False,True,0.9997563277687807,,,
vacuum_instanton,2,auto vacuum ansatz: rho/M_Pl^4 = (pi)^-1 * exp(-(359/4)*pi),2.5346111469374653,,,0.004306425353099918,5.205927707258178,2.37412689036662,False,True,0.9901330897261432,,,
vacuum_instanton,3,auto vacuum ansatz: rho/M_Pl^4 = pi * exp(-(181/2)*pi),2.540422459102894,,,0.03328894534622204,4.433554113001733,2.37412689036662,False,True,0.9262133888918134,,,
vacuum_instanton,4,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^4 * exp(-(280/3)*pi),2.54819003938675,,,0.0006676354961420394,5.779850450799598,2.37412689036662,False,True,1.0015384697731948,,,
vacuum_instanton,5,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^3/(8*pi) * exp(-(183/2)*pi),2.5488648904770135,,,0.0025745604980186667,5.73878132041249,2.37412689036662,False,True,1.0059457508466405,,,
vacuum_instanton,6,auto vacuum ansatz: rho/M_Pl^4 = (2*pi)^-1 * exp(-(179/2)*pi),2.5517326416880293,,,0.035757667443365726,4.728269462601454,2.37412689036662,False,True,1.085819576635938,,,
vacuum_instanton,7,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^2*(8*pi) * exp(-(371/4)*pi),2.559402515972277,,,0.001626026454230847,6.121653305047533,2.37412689036662,False,True,0.9962629359951078,,,
vacuum_instanton,8,auto vacuum ansatz: rho/M_Pl^4 = 2*pi * exp(-(272/3)*pi),2.5604522025403367,,,0.04034499134411145,4.866010694320176,2.37412689036662,False,True,1.0973495536850146,,,
vacuum_instanton,9,auto vacuum ansatz: rho/M_Pl^4 = (pi)^7 * exp(-(278/3)*pi),2.5659581963748095,,,0.006538475838740047,6.176427672314988,2.37412689036662,False,True,0.9850573688712593,,,
vacuum_instanton,10,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^-1 * exp(-(268/3)*pi),2.566771315584096,,,0.03787626924696773,5.158938532350277,2.37412689036662,False,True,0.9164815590654758,,,
vacuum_instanton,11,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^3 * exp(-(185/2)*pi),2.5698835263149675,,,0.0384380663422595,5.243952320202931,2.37412689036662,False,True,1.0925418114039054,,,
vacuum_instanton,12,auto vacuum ansatz: rho/M_Pl^4 = (8*pi)^5 * exp(-(381/4)*pi),2.5741853774934484,,,0.01002720035870531,6.334376225604107,2.37412689036662,False,True,0.9771760173907883,,,
vacuum_instanton,13,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^7 * exp(-(383/4)*pi),2.574287690115979,,,0.0010543724446629395,6.636880910156543,2.37412689036662,False,True,1.0024307317233194,,,
vacuum_instanton,14,auto vacuum ansatz: rho/M_Pl^4 = (2*pi)^5 * exp(-(93)*pi),2.574345085595557,,,0.04951963914562771,5.023285202776982,2.37412689036662,False,True,1.120778107477796,,,
vacuum_instanton,15,auto vacuum ansatz: rho/M_Pl^4 = (pi)^8 * exp(-(93)*pi),2.5756447253580523,,,0.035819278908123156,5.523285202776982,2.37412689036662,False,True,1.0859736280524794,,,
