rank,family,name,verdict,objective,chi2,max_abs_z,log10_error,leakage_score,provenance,formula
18,target_guided_rg_clock,"RG clock alphaU^-1=37.5, MbarPl/36, clock 1:4, B=(10/3,27/5,7/5)",passes_numeric_tests_needs_physics_audit,21.158016290872354,0.37557853896092674,0.5610696482083455,0.0002259509745207414,0.58,target_guided_beta_quantization_not_derivation,alpha_i^-1(MZ)=alphaU^-1+bSM_i ln(MI/MZ)/(2π)+B_i ln(MU/MI)/(2π)
19,target_guided_rg_clock,"RG clock alphaU^-1=47.5, MbarPl/24, clock 1:7, B=(-12,-23/6,-38/5)",passes_numeric_tests_needs_physics_audit,21.1634714224162,0.020735995155521124,0.11934613673126686,0.00013507887280896398,0.58,target_guided_beta_quantization_not_derivation,alpha_i^-1(MZ)=alphaU^-1+bSM_i ln(MI/MZ)/(2π)+B_i ln(MU/MI)/(2π)
20,target_guided_rg_clock,"RG clock alphaU^-1=41.5, MbarPl/60, clock 1:7, B=(-13/5,22/5,-1/5)",passes_numeric_tests_needs_physics_audit,21.195713436370635,0.4431859648588786,0.53525685993705,0.00019618865527411996,0.58,target_guided_beta_quantization_not_derivation,alpha_i^-1(MZ)=alphaU^-1+bSM_i ln(MI/MZ)/(2π)+B_i ln(MU/MI)/(2π)
21,target_guided_rg_clock,"RG clock alphaU^-1=46.5, MbarPl/54, clock 1:6, B=(-25/3,-3,-37/5)",passes_numeric_tests_needs_physics_audit,21.267485442621847,0.39825067367843975,0.5861838109896822,5.032756420175896e-05,0.58,target_guided_beta_quantization_not_derivation,alpha_i^-1(MZ)=alphaU^-1+bSM_i ln(MI/MZ)/(2π)+B_i ln(MU/MI)/(2π)
22,target_guided_rg_clock,"RG clock alphaU^-1=46.5, MbarPl/45, clock 1:8, B=(-12,-14/5,-43/6)",passes_numeric_tests_needs_physics_audit,21.356981609522542,0.23235376817860406,0.4732178463121942,0.00011788512082997229,0.58,target_guided_beta_quantization_not_derivation,alpha_i^-1(MZ)=alphaU^-1+bSM_i ln(MI/MZ)/(2π)+B_i ln(MU/MI)/(2π)
23,target_guided_rg_clock,"RG clock alphaU^-1=45, MbarPl/32, clock 1:7, B=(-41/5,-2/5,-22/5)",passes_numeric_tests_needs_physics_audit,21.384933126447514,0.3885443717004653,0.6060244592764885,8.321743347131169e-05,0.58,target_guided_beta_quantization_not_derivation,alpha_i^-1(MZ)=alphaU^-1+bSM_i ln(MI/MZ)/(2π)+B_i ln(MU/MI)/(2π)
24,target_guided_rg_clock,"RG clock alphaU^-1=40.5, MbarPl/20, clock 1:8, B=(-11/4,38/5,4)",passes_numeric_tests_needs_physics_audit,21.400418759396572,0.6715399355248807,0.7402460763508145,0.00039284414870940655,0.58,target_guided_beta_quantization_not_derivation,alpha_i^-1(MZ)=alphaU^-1+bSM_i ln(MI/MZ)/(2π)+B_i ln(MU/MI)/(2π)
25,target_guided_rg_clock,"RG clock alphaU^-1=44, MbarPl/54, clock 1:7, B=(-32/5,3/4,-15/4)",passes_numeric_tests_needs_physics_audit,21.41249987834962,0.5305287566834334,0.616556255017997,7.320367355243472e-05,0.58,target_guided_beta_quantization_not_derivation,alpha_i^-1(MZ)=alphaU^-1+bSM_i ln(MI/MZ)/(2π)+B_i ln(MU/MI)/(2π)
26,continuous_global_fit_audit,DE fit of RG clock with fixed ISDLC effective beta,fit_or_posthoc_not_derivation,30.500000403548395,4.035483958926216e-07,0.0006157329955162419,6.875150512916761e-07,0.94,continuous_parameters_fitted_to_benchmark,"fit alphaU^-1, ln(MU/MZ), clock fraction; B=(-8/5,-3,-7)"
27,symbolic_alpha_numerology_audit,alpha0^-1≈-24π+-34π²+548,fit_or_posthoc_not_derivation,1353189477.7927804,1353189452.343195,36785.72348538486,2.448214475132339e-06,0.88,posthoc_symbolic_search,alpha0_inv=-24*π+-34*π²+548
