model_name,embedded_sha256,file_sha256,n_predictions,numeric_count,reduced_chi2,fail_count,missing_count,pass_count,domains_predicted,external_pass,hard_fails,path
ISDLC-TCPS minimal-decoupled blind predictor,b9ba9310dcaf1721a3fa41c1910829367bdb3188bcdd81e90e639df09daba347,1a365c2669328c0dc1b9e9db51ccfcf655ef4902bd188e5681c011f5d0d4e62e,12,1,0.10089965397923807,0,14,2,2,False,,/mnt/data/frozen_isdlc_tcps_minimal_decoupled_packet.json
ISDLC-TCPS minimal-decoupled blind predictor,096e1f14f4a58d7587ce1a275322289b7806c40fa312cf1b2eff7c5981371c17,3f7bd7ed160fa85b4d1f32f33477af8c93d759961ef8a7a4ab97a20d1c6564d6,12,1,0.10089965397923807,0,14,2,2,False,,/mnt/data/fpp_blind_success_work/first_principles_physics_engine/blind_success_run/frozen_isdlc_tcps_minimal_decoupled_packet.json
ISDLC-TCPS minimal-decoupled blind predictor,427e10f859babc9194da62509a602d29b8be01e6ba8660f3fbf4a66ff2ff648f,73082652a4e28565da013254f1a7906dfd78ed3b0857d5f1fd8e15fb0bdabada,12,1,0.10089965397923807,0,14,2,2,False,,/mnt/data/fpp_blind_success_work/first_principles_physics_engine/blind_success_run/tier1_run/frozen_isdlc_tcps_minimal_decoupled_packet.json
ISDLC-TCPS minimal-decoupled blind predictor,30d608b0ed05a8131fa33b1335ec0f9520a9fcc8c9607b4da65a41c680a071f5,40ffa80c32fa714d6674f3fddebb6e7be7068438f6d4f9467b6d86dcd3e1da37,12,1,0.10089965397923807,0,14,2,2,False,,/mnt/data/blind_success_tier1_v0_5/frozen_isdlc_tcps_minimal_decoupled_packet.json
"ISDLC-TCPS-Fnu-chi Cabibbo-clock frozen extension, external-holdout packet",74e16bedd02799dab4fb3322516dc3a4648233df5742f20b9ad4056cf06e32ad,08cb6fcc767d547e9b5b7d8e19fcd6e499f9cce8e6d8766b911ba2b4e376b60f,26,0,,0,16,0,0,False,,/mnt/data/strict_freeze_external_holdout/external_holdout_frozen_packet.json
ISDLC-TCPS-Fνχ Cabibbo-clock frozen extension,e0855d9ba75a7b58a66cadf60dcbcdedae18bf8e3bdd9eff63b8afe73af8aaaa,1746dbf32813800fb4bcdf424d474058f910d4928f291f8afab7ec073c546cc1,26,11,5.795089917951906,2,3,11,7,False,pmns_sin2_theta23:4.78; Omega_c_h2:-4.62,/mnt/data/frozen_isdlc_tcps_fnu_chi_cabibbo_clock_packet.json
frozen ISDLC-TCPS clock-texture + minimal-thermal extension,0adb09bebf188950950d4682dbffff8635dea06d77f8ff4416f68b106cd0a9b2,eebb12da3b6053a6fc7ba868f93615b9e4910f169d992ff18409c4d0b69cdcfd,17,8,9.309005439141025,3,6,7,5,False,Vus:-3.66; pmns_sin2_theta23:6.13; pmns_sin2_theta13:4.66,/mnt/data/frozen_isdlc_tcps_clock_texture_packet.json
FROZEN-RGCICT-1: RG-clock + instanton + clock-texture minimal thermal model,8cf9a04bef253e4e5c0ba1c4b5d088b430acfc00a4303e005c05150f73c926fa,b0739251d7c44936483aa7cdc733d35fcc608ee454f1f8032d7695c721a21d5b,17,8,9.309005439141025,3,6,7,5,False,Vus:-3.66; pmns_sin2_theta23:6.13; pmns_sin2_theta13:4.66,/mnt/data/fpp_blind_upgrade_work/first_principles_physics_engine/FROZEN_RGCICT_1_packet.json
